Run,Shear,Scale,Translate,Degrees,Box(P),Recall,mAP50,mAP50-95
grid_shear5.0_scale0.06_trans0.03_deg10.0,5.0,0.06,0.03,10.0,0.6446022787069524,0.8294117647058824,0.7488798568293727,0.3166278573049572
grid_shear5.0_scale0.06_trans0.03_deg15.0,5.0,0.06,0.03,15.0,0.7562706033662495,0.8568627450980392,0.8611091100383755,0.3694338418050634
grid_shear5.0_scale0.06_trans0.06_deg0.0,5.0,0.06,0.06,0.0,0.6675611906153254,0.8274509803921568,0.7776848785583077,0.3319782296591865
grid_shear5.0_scale0.06_trans0.06_deg5.0,5.0,0.06,0.06,5.0,0.7442521592238018,0.8333333333333334,0.8310517996860999,0.3423690676973951
grid_shear5.0_scale0.06_trans0.06_deg10.0,5.0,0.06,0.06,10.0,0.6853778442666022,0.832924173681615,0.7857313733083994,0.32318333400588894
grid_shear5.0_scale0.06_trans0.06_deg15.0,5.0,0.06,0.06,15.0,0.7374713580462685,0.8450980392156863,0.8204169948564765,0.3421242051987601
grid_shear5.0_scale0.06_trans0.1_deg0.0,5.0,0.06,0.1,0.0,0.7424720509868571,0.8431372549019608,0.8519293654546813,0.36581848619085466
grid_shear5.0_scale0.06_trans0.1_deg5.0,5.0,0.06,0.1,5.0,0.6916756993399227,0.8686274509803922,0.7825613416445986,0.32753162791206153
grid_shear5.0_scale0.06_trans0.1_deg10.0,5.0,0.06,0.1,10.0,0.7134551397698364,0.8445984740547623,0.7930972904437089,0.33415652611328117
grid_shear5.0_scale0.06_trans0.1_deg15.0,5.0,0.06,0.1,15.0,0.8082181591953372,0.8176470588235294,0.8493854536216714,0.36785466087412444
grid_shear5.0_scale0.1_trans0.0_deg0.0,5.0,0.1,0.0,0.0,0.860576437516575,0.8549019607843137,0.8870184494367144,0.36945214868511755
grid_shear5.0_scale0.1_trans0.0_deg5.0,5.0,0.1,0.0,5.0,0.7672740280175735,0.8597804045241885,0.8632780304278597,0.3571628407375626
grid_shear5.0_scale0.1_trans0.0_deg10.0,5.0,0.1,0.0,10.0,0.8477687738830023,0.8627450980392157,0.8821620248588334,0.3782987034939485
grid_shear5.0_scale0.1_trans0.0_deg15.0,5.0,0.1,0.0,15.0,0.8881900852010206,0.8878315864235617,0.8971232803395511,0.3628777052562263
grid_shear5.0_scale0.1_trans0.03_deg0.0,5.0,0.1,0.03,0.0,0.8213054671203682,0.8627450980392157,0.8785398647889292,0.3785303578816067
grid_shear5.0_scale0.1_trans0.03_deg5.0,5.0,0.1,0.03,5.0,0.8359317959433328,0.8791426178690145,0.8976134754614122,0.3863192989977908
grid_shear5.0_scale0.1_trans0.03_deg10.0,5.0,0.1,0.03,10.0,0.7496546423076687,0.8215686274509804,0.8201156432922305,0.33721341998601584
grid_shear5.0_scale0.1_trans0.03_deg15.0,5.0,0.1,0.03,15.0,0.7737604596125423,0.8431372549019608,0.8509530733311025,0.36781976524414806
grid_shear5.0_scale0.1_trans0.06_deg0.0,5.0,0.1,0.06,0.0,0.7843533741816776,0.8607843137254902,0.8732704162826069,0.3796550459512998
grid_shear5.0_scale0.1_trans0.06_deg5.0,5.0,0.1,0.06,5.0,0.8079740442938254,0.8415264075480836,0.8743255894996297,0.3642820007011399
grid_shear5.0_scale0.1_trans0.06_deg10.0,5.0,0.1,0.06,10.0,0.8169717021172788,0.8588235294117647,0.8944802529339962,0.39230269594337486
grid_shear5.0_scale0.1_trans0.06_deg15.0,5.0,0.1,0.06,15.0,0.8087879952215089,0.8725490196078431,0.8793093476382666,0.3782830582997467
grid_shear5.0_scale0.1_trans0.1_deg0.0,5.0,0.1,0.1,0.0,0.7755435934189211,0.8807398120956573,0.8703220302770364,0.3719654429932405
grid_shear5.0_scale0.1_trans0.1_deg5.0,5.0,0.1,0.1,5.0,0.8429746175935244,0.8588235294117647,0.8906139317424138,0.3614730535451087
grid_shear5.0_scale0.1_trans0.1_deg10.0,5.0,0.1,0.1,10.0,0.6606184486207413,0.8205993345861663,0.7531935267619938,0.32400658443307756
grid_shear5.0_scale0.1_trans0.1_deg15.0,5.0,0.1,0.1,15.0,0.8346340193721361,0.8568627450980392,0.877419076687671,0.37656603245933606
grid_shear7.5_scale0.0_trans0.0_deg0.0,7.5,0.0,0.0,0.0,0.6823693702944182,0.8087767084659548,0.78760061289901,0.31466455871245835
grid_shear7.5_scale0.0_trans0.0_deg5.0,7.5,0.0,0.0,5.0,0.6225371080417398,0.8,0.7455498957541092,0.30085859553464056
grid_shear7.5_scale0.0_trans0.0_deg10.0,7.5,0.0,0.0,10.0,0.731806164522943,0.8509803921568627,0.8223281328192182,0.3285853489620765
grid_shear7.5_scale0.0_trans0.0_deg15.0,7.5,0.0,0.0,15.0,0.6943664020274394,0.8508458760979505,0.7838529572272985,0.31656925807647934
grid_shear7.5_scale0.0_trans0.03_deg0.0,7.5,0.0,0.03,0.0,0.6620308155285709,0.8450980392156863,0.7448602598428959,0.29749787527154464
grid_shear7.5_scale0.0_trans0.03_deg5.0,7.5,0.0,0.03,5.0,0.6714569181920027,0.8352941176470589,0.7596059038379193,0.30566412272476967
grid_shear7.5_scale0.0_trans0.03_deg10.0,7.5,0.0,0.03,10.0,0.6862856702631267,0.8333333333333334,0.8004565366131245,0.3276223998479414
grid_shear7.5_scale0.0_trans0.03_deg15.0,7.5,0.0,0.03,15.0,0.5942885007761165,0.8788838577266425,0.7425123455716196,0.30999991394889354
grid_shear7.5_scale0.0_trans0.06_deg0.0,7.5,0.0,0.06,0.0,0.6634591365772465,0.8504116380120503,0.7761626091236739,0.3127576148389818
grid_shear7.5_scale0.0_trans0.06_deg5.0,7.5,0.0,0.06,5.0,0.6574279651303689,0.8431372549019608,0.7490792269181464,0.30205001696778094
grid_shear7.5_scale0.0_trans0.06_deg10.0,7.5,0.0,0.06,10.0,0.6613894428113123,0.8392156862745098,0.784185512652571,0.3337376548531219
grid_shear7.5_scale0.0_trans0.06_deg15.0,7.5,0.0,0.06,15.0,0.7072471666010937,0.8431793662890522,0.8212829004697443,0.35117097291887134
